Index,Room,Total,Date,Shift,Total Duties
1,CS301,33,1/4/2022,1,120
2,CS302,33,1/4/2022,1,
3,CS303,33,1/4/2022,1,
4,CS304,32,1/4/2022,1,
5,CS305,32,1/4/2022,1,
6,CS306,32,1/4/2022,1,
7,CYS-201,31,1/4/2022,1,
8,CS-301Lab,31,1/4/2022,1,
9,Room-pending,33,1/4/2022,1,
10,Room-pending,33,1/4/2022,1,
11,Roompending,35,1/4/2022,1,
12,CS-301,36,1/4/2022,3,
13,CS-302,36,1/4/2022,3,
14,CS-303,20,1/4/2022,3,
15,CS-304,22,1/4/2022,3,
16,CS-305,21,1/4/2022,3,
17,CS-306,20,1/4/2022,3,
18,CYS201,19,1/4/2022,3,
19,CS301,33,4/4/2022,1,
20,CS302,33,4/4/2022,1,
21,CS303,36,4/4/2022,1,
22,CS304,20,4/4/2022,1,
23,CS305,22,4/4/2022,1,
24,CS306,20,4/4/2022,1,
25,CYS-201,9,4/4/2022,1,
26,CS-301,36,4/4/2022,2,
27,CS-302,36,4/4/2022,2,
28,CS-303,31,4/4/2022,2,
29,CS-304,30,4/4/2022,2,
30,CS-305,32,4/4/2022,2,
31,CS-306,35,4/4/2022,2,
32,CYS201,28,4/4/2022,2,
33,CSLab-301,28,4/4/2022,2,
34,Room-pending,29,4/4/2022,2,
35,Room-pending,29,4/4/2022,2,
36,Room-pending,12,4/4/2022,2,
36,CS-301,36,4/4/2022,3,
38,CS-302,37,4/4/2022,3,
39,CS-303,23,4/4/2022,3,
40,CS-304,23,4/4/2022,3,
41,CS-305,19,4/4/2022,3,
42,CS-306,19,4/4/2022,3,
43,CS301,36,5/4/2022,1,
44,CS302,36,5/4/2022,1,
45,CS303,36,5/4/2022,1,
46,CS304,36,5/4/2022,1,
47,CS305,36,5/4/2022,1,
48,CS306,36,5/4/2022,1,
49,CYS-201,36,5/4/2022,1,
50,CS301Lab,36,5/4/2022,1,
51,Room-pending,36,5/4/2022,1,
52,Room-pending,36,5/4/2022,1,
53,Room-pending,25,5/4/2022,1,
54,CS-301,36,5/4/2022,3,
55,CS-302,36,5/4/2022,3,
56,CS-303,36,5/4/2022,3,
57,CS-304,22,5/4/2022,3,
58,CS-305,22,5/4/2022,3,
59,CS-306,22,5/4/2022,3,
60,CS301,22,6/4/2022,1,
61,CS302,22,6/4/2022,1,
62,CS303,21,6/4/2022,1,
63,CS304,20,6/4/2022,1,
64,CS305,22,6/4/2022,1,
65,CS306,22,6/4/2022,1,
66,CYS-201,23,6/4/2022,1,
67,CS301Lab,22,6/4/2022,1,
68,CS-301,35,6/4/2022,2,
69,CS-302,34,6/4/2022,2,
70,CS-303,33,6/4/2022,2,
71,CS-304,21,6/4/2022,2,
72,CS-305,15,6/4/2022,2,
73,CS-306,15,6/4/2022,2,
74,CYS201,17,6/4/2022,2,
75,CS-301,34,6/4/2022,3,
76,CS-302,34,6/4/2022,3,
77,CS-303,36,6/4/2022,3,
78,CS-304,22,6/4/2022,3,
79,CS-305,21,6/4/2022,3,
80,CS-306,20,6/4/2022,3,
