Index,Room,Total,Date,Shift,Total Duties
1,CS301,33,1/4/2022,8:30 - 10:30 ,2000
2,CS302,33,1/4/2022,8:30 - 10:30 ,
3,CS303,33,1/4/2022,8:30 - 10:30 ,
4,CS304,32,1/4/2022,8:30 - 10:30 ,
5,CS305,32,1/4/2022,8:30 - 10:30 ,
6,CS306,32,1/4/2022,8:30 - 10:30 ,
7,CYS-201,31,1/4/2022,8:30 - 10:30 ,
8,CS-301Lab,31,1/4/2022,8:30 - 10:30 ,
9,Room-pending,33,1/4/2022,8:30 - 10:30 ,
10,Room-pending,33,1/4/2022,8:30 - 10:30 ,
11,Roompending,35,1/4/2022,8:30 - 10:30 ,
12,CS-301,36,1/4/2022,2:30 - 4:30,
13,CS-302,36,1/4/2022,2:30 - 4:30,
14,CS-303,20,1/4/2022,2:30 - 4:30,
15,CS-304,22,1/4/2022,2:30 - 4:30,
16,CS-305,21,1/4/2022,2:30 - 4:30,
17,CS-306,20,1/4/2022,2:30 - 4:30,
18,CYS201,19,1/4/2022,2:30 - 4:30,
19,CS301,33,4/4/2022,8:30 - 10:30 ,
20,CS302,33,4/4/2022,8:30 - 10:30 ,
21,CS303,36,4/4/2022,8:30 - 10:30 ,
22,CS304,20,4/4/2022,8:30 - 10:30 ,
23,CS305,22,4/4/2022,8:30 - 10:30 ,
24,CS306,20,4/4/2022,8:30 - 10:30 ,
25,CYS-201,9,4/4/2022,8:30 - 10:30 ,
26,CS-301,36,4/4/2022,11:30 - 1:30,
27,CS-302,36,4/4/2022,11:30 - 1:30,
28,CS-303,31,4/4/2022,11:30 - 1:30,
29,CS-304,30,4/4/2022,11:30 - 1:30,
30,CS-305,32,4/4/2022,11:30 - 1:30,
31,CS-306,35,4/4/2022,11:30 - 1:30,
32,CYS201,28,4/4/2022,11:30 - 1:30,
33,CSLab-301,28,4/4/2022,11:30 - 1:30,
34,Room-pending,29,4/4/2022,11:30 - 1:30,
35,Room-pending,29,4/4/2022,11:30 - 1:30,
36,Room-pending,12,4/4/2022,11:30 - 1:30,
36,CS-301,36,4/4/2022,2:30 - 4:30,
38,CS-302,37,4/4/2022,2:30 - 4:30,
39,CS-303,23,4/4/2022,2:30 - 4:30,
40,CS-304,23,4/4/2022,2:30 - 4:30,
41,CS-305,19,4/4/2022,2:30 - 4:30,
42,CS-306,19,4/4/2022,2:30 - 4:30,
43,CS301,36,5/4/2022,8:30 - 10:30 ,
44,CS302,36,5/4/2022,8:30 - 10:30 ,
45,CS303,36,5/4/2022,8:30 - 10:30 ,
46,CS304,36,5/4/2022,8:30 - 10:30 ,
47,CS305,36,5/4/2022,8:30 - 10:30 ,
48,CS306,36,5/4/2022,8:30 - 10:30 ,
49,CYS-201,36,5/4/2022,8:30 - 10:30 ,
50,CS301Lab,36,5/4/2022,8:30 - 10:30 ,
51,Room-pending,36,5/4/2022,8:30 - 10:30 ,
52,Room-pending,36,5/4/2022,8:30 - 10:30 ,
53,Room-pending,25,5/4/2022,8:30 - 10:30 ,
54,CS-301,36,5/4/2022,2:30 - 4:30,
55,CS-302,36,5/4/2022,2:30 - 4:30,
56,CS-303,36,5/4/2022,2:30 - 4:30,
57,CS-304,22,5/4/2022,2:30 - 4:30,
58,CS-305,22,5/4/2022,2:30 - 4:30,
59,CS-306,22,5/4/2022,2:30 - 4:30,
60,CS301,22,6/4/2022,8:30 - 10:30 ,
61,CS302,22,6/4/2022,8:30 - 10:30 ,
62,CS303,21,6/4/2022,8:30 - 10:30 ,
63,CS304,20,6/4/2022,8:30 - 10:30 ,
64,CS305,22,6/4/2022,8:30 - 10:30 ,
65,CS306,22,6/4/2022,8:30 - 10:30 ,
66,CYS-201,23,6/4/2022,8:30 - 10:30 ,
67,CS301Lab,22,6/4/2022,8:30 - 10:30 ,
68,CS-301,35,6/4/2022,11:30 - 1:30,
69,CS-302,34,6/4/2022,11:30 - 1:30,
70,CS-303,33,6/4/2022,11:30 - 1:30,
71,CS-304,21,6/4/2022,11:30 - 1:30,
72,CS-305,15,6/4/2022,11:30 - 1:30,
73,CS-306,15,6/4/2022,11:30 - 1:30,
74,CYS201,17,6/4/2022,11:30 - 1:30,
75,CS-301,34,6/4/2022,2:30 - 4:30,
76,CS-302,34,6/4/2022,2:30 - 4:30,
77,CS-303,36,6/4/2022,2:30 - 4:30,
78,CS-304,22,6/4/2022,2:30 - 4:30,
79,CS-305,21,6/4/2022,2:30 - 4:30,
80,CS-306,41,6/4/2022,2:30 - 4:30,
